Index,Ovr,Gen,Div,Name,#,AG,Country,Swim,Bike,Run,Total,Competition,Year,Swim_sec,Bike_sec,Run_sec,Total_sec
1,1,1,1,Dan Plews,478,M40-44,NZL,00:36:26,04:23:26,02:48:47,07:56:55,Overall Results,Ironman California 2023,2186.0,15806.0,10127,28615
2,2,2,2,Raynard Picard,2004,M40-44,MEX,00:42:28,04:30:20,02:55:59,08:19:27,Overall Results,Ironman California 2023,2548.0,16220.0,10559,29967
3,3,3,1,Jamie Woodbury,2302,M30-34,CAN,00:37:18,04:33:58,03:00:01,08:21:00,Overall Results,Ironman California 2023,2238.0,16438.0,10801,30060
4,4,4,2,John Matson,2334,M30-34,USA,00:37:23,04:39:48,02:56:49,08:23:56,Overall Results,Ironman California 2023,2243.0,16788.0,10609,30236
5,5,5,3,Chris Cartwright,272,M30-34,CAN,00:39:54,04:37:29,02:59:37,08:26:38,Overall Results,Ironman California 2023,2394.0,16649.0,10777,30398
6,6,6,4,Guglielmo Schiavoni,230,M30-34,ITA,00:38:11,04:40:02,03:02:26,08:28:47,Overall Results,Ironman California 2023,2291.0,16802.0,10946,30527
7,7,7,1,Martin Caron,251,M45-49,CAN,00:41:17,04:31:16,03:07:44,08:29:37,Overall Results,Ironman California 2023,2477.0,16276.0,11264,30577
8,8,8,1,Lee Mount,1911,M25-29,USA,00:38:54,04:22:36,03:21:10,08:31:07,Overall Results,Ironman California 2023,2334.0,15756.0,12070,30667
9,9,9,3,Matthew Tatum,309,M40-44,USA,00:39:37,04:29:55,03:13:35,08:32:22,Overall Results,Ironman California 2023,2377.0,16195.0,11615,30742
10,10,10,1,Sean Mahoney,306,M35-39,USA,00:34:30,04:25:35,03:24:21,08:34:34,Overall Results,Ironman California 2023,2070.0,15935.0,12261,30874
11,11,11,2,Marc Morgan,344,M35-39,USA,00:43:40,04:35:38,03:05:57,08:35:50,Overall Results,Ironman California 2023,2620.0,16538.0,11157,30950
12,12,12,3,Eric Perry,274,M35-39,USA,00:39:15,04:43:07,03:07:29,08:38:32,Overall Results,Ironman California 2023,2355.0,16987.0,11249,31112
13,13,13,4,Craig Taylor,170,M35-39,USA,00:37:26,04:34:30,03:18:26,08:38:50,Overall Results,Ironman California 2023,2246.0,16470.0,11906,31130
14,14,14,2,Luis Benitez,470,M25-29,MEX,00:45:58,04:39:22,03:04:03,08:40:13,Overall Results,Ironman California 2023,2758.0,16762.0,11043,31213
15,15,15,1,Eric Harr,716,M50-54,USA,00:38:57,04:37:20,03:16:33,08:42:44,Overall Results,Ironman California 2023,2337.0,16640.0,11793,31364
16,16,16,5,Zach Aldrich,210,M30-34,USA,00:38:49,04:42:19,03:13:25,08:43:37,Overall Results,Ironman California 2023,2329.0,16939.0,11605,31417
17,17,17,4,Murat Guney,215,M40-44,TUR,00:43:03,04:38:10,03:15:24,08:45:55,Overall Results,Ironman California 2023,2583.0,16690.0,11724,31555
18,18,18,5,Danny Dvinov,377,M40-44,USA,00:40:15,04:38:58,03:16:47,08:47:56,Overall Results,Ironman California 2023,2415.0,16738.0,11807,31676
19,19,19,6,Florian Baetke,2078,M40-44,DEU,00:39:07,04:37:11,03:20:28,08:48:26,Overall Results,Ironman California 2023,2347.0,16631.0,12028,31706
20,20,20,7,Tommy Nelson,667,M40-44,USA,00:44:42,04:37:09,03:17:01,08:48:41,Overall Results,Ironman California 2023,2682.0,16629.0,11821,31721
21,21,21,5,Emmanuel Lopez,2107,M35-39,USA,00:45:17,04:50:28,03:02:55,08:48:59,Overall Results,Ironman California 2023,2717.0,17428.0,10975,31739
22,22,22,6,Andy Williams,2345,M35-39,USA,00:36:35,04:47:54,03:15:28,08:49:22,Overall Results,Ironman California 2023,2195.0,17274.0,11728,31762
23,23,23,6,Gregor Davidheiser,240,M30-34,USA,00:40:03,04:27:24,03:34:50,08:50:47,Overall Results,Ironman California 2023,2403.0,16044.0,12890,31847
24,24,24,7,Matthieu Juillerat,195,M30-34,CHE,00:39:39,04:51:47,03:11:56,08:51:30,Overall Results,Ironman California 2023,2379.0,17507.0,11516,31890
25,25,25,7,Mihai Vigariu,1989,M35-39,ROU,00:40:35,04:33:58,03:28:20,08:52:18,Overall Results,Ironman California 2023,2435.0,16438.0,12500,31938
26,26,26,8,Xavier Padrosa,780,M35-39,ESP,00:39:45,04:51:20,03:08:50,08:52:20,Overall Results,Ironman California 2023,2385.0,17480.0,11330,31940
27,27,27,2,Juan Delgado Valbuena,1820,M45-49,COL,00:40:44,04:45:15,03:17:57,08:53:48,Overall Results,Ironman California 2023,2444.0,17115.0,11877,32028
28,28,28,8,Ryan Seguine,291,M40-44,USA,00:41:44,04:43:19,03:17:32,08:53:48,Overall Results,Ironman California 2023,2504.0,16999.0,11852,32028
29,29,29,3,Ricardo Garcia,260,M45-49,ARG,00:39:23,04:41:59,03:23:00,08:54:29,Overall Results,Ironman California 2023,2363.0,16919.0,12180,32069
30,30,30,4,Christian Weyland,144,M45-49,LUX,00:43:14,04:25:47,03:38:12,08:56:35,Overall Results,Ironman California 2023,2594.0,15947.0,13092,32195
31,31,31,9,Rob Pouw,226,M35-39,NLD,00:44:37,04:35:48,03:28:38,08:58:23,Overall Results,Ironman California 2023,2677.0,16548.0,12518,32303
32,32,32,3,Kevin Le,2137,M25-29,USA,00:40:16,04:42:18,03:27:26,09:00:18,Overall Results,Ironman California 2023,2416.0,16938.0,12446,32418
33,33,33,8,Justin Clark,355,M30-34,USA,00:39:36,04:36:55,03:34:06,09:01:45,Overall Results,Ironman California 2023,2376.0,16615.0,12846,32505
34,34,34,10,Ricardo Mazzini,472,M35-39,USA,00:43:12,04:50:56,03:20:06,09:03:21,Overall Results,Ironman California 2023,2592.0,17456.0,12006,32601
35,35,35,11,Anton Komarov,234,M35-39,USA,00:42:11,04:53:34,03:18:18,09:03:23,Overall Results,Ironman California 2023,2531.0,17614.0,11898,32603
36,36,36,12,Fabian Wanner,1847,M35-39,DEU,00:42:40,04:36:21,03:34:38,09:03:26,Overall Results,Ironman California 2023,2560.0,16581.0,12878,32606
37,37,37,9,Blaine Egan,1686,M40-44,USA,00:40:34,04:50:03,03:21:34,09:03:37,Overall Results,Ironman California 2023,2434.0,17403.0,12094,32617
38,38,38,9,Harry Boscawen,834,M30-34,GBR,00:40:45,04:43:42,03:32:43,09:04:00,Overall Results,Ironman California 2023,2445.0,17022.0,12763,32640
39,39,39,1,Cortney Weintz,479,M18-24,USA,00:45:45,04:41:54,03:28:22,09:04:44,Overall Results,Ironman California 2023,2745.0,16914.0,12502,32684
40,40,40,10,Brett McPhedran,252,M40-44,CAN,00:42:21,04:53:50,03:17:05,09:06:31,Overall Results,Ironman California 2023,2541.0,17630.0,11825,32791
41,41,41,10,Keane Johnson,333,M30-34,USA,00:40:51,04:54:58,03:19:57,09:06:41,Overall Results,Ironman California 2023,2451.0,17698.0,11997,32801
42,42,42,13,Brett King,597,M35-39,USA,00:36:44,04:47:41,03:32:44,09:06:47,Overall Results,Ironman California 2023,2204.0,17261.0,12764,32807
43,43,43,2,Will Fuchs,2155,M18-24,USA,00:45:13,05:12:01,02:57:28,09:08:01,Overall Results,Ironman California 2023,2713.0,18721.0,10648,32881
44,44,44,2,Mark Follett,246,M50-54,AUS,00:42:37,04:52:53,03:23:25,09:09:03,Overall Results,Ironman California 2023,2557.0,17573.0,12205,32943
45,45,45,3,Declan Doyle,812,M50-54,IRL,00:43:29,04:59:41,03:14:03,09:09:08,Overall Results,Ironman California 2023,2609.0,17981.0,11643,32948
46,46,46,11,Robby Wade,455,M30-34,USA,00:41:36,04:50:45,03:26:34,09:10:03,Overall Results,Ironman California 2023,2496.0,17445.0,12394,33003
47,47,47,4,Evan Levy,1113,M25-29,USA,00:45:45,04:46:16,03:28:13,09:10:17,Overall Results,Ironman California 2023,2745.0,17176.0,12493,33017
48,48,48,11,Carlos Hurtado,348,M40-44,COL,00:41:22,05:02:30,03:17:10,09:10:59,Overall Results,Ironman California 2023,2482.0,18150.0,11830,33059
49,49,49,14,Scott Galloway,181,M35-39,USA,00:42:23,04:54:16,03:24:02,09:11:32,Overall Results,Ironman California 2023,2543.0,17656.0,12242,33092
50,50,50,12,Ronan Foucher,790,M40-44,FRA,00:42:58,04:53:14,03:22:50,09:11:32,Overall Results,Ironman California 2023,2578.0,17594.0,12170,33092
51,51,51,12,Anthony Chan,197,M30-34,USA,00:47:20,04:44:39,03:28:13,09:12:12,Overall Results,Ironman California 2023,2840.0,17079.0,12493,33132
52,52,52,15,Luiz Mauro Grohs,741,M35-39,BRA,00:43:37,04:54:45,03:22:58,09:12:14,Overall Results,Ironman California 2023,2617.0,17685.0,12178,33134
53,53,53,16,Kevin Stumpf,277,M35-39,USA,00:41:47,04:48:32,03:29:28,09:12:19,Overall Results,Ironman California 2023,2507.0,17312.0,12568,33139
54,54,54,13,David Levenson,402,M40-44,USA,00:45:25,04:52:18,03:23:05,09:13:58,Overall Results,Ironman California 2023,2725.0,17538.0,12185,33238
55,55,55,4,Dennis Woodside,1988,M50-54,USA,00:41:03,04:50:11,03:27:13,09:14:28,Overall Results,Ironman California 2023,2463.0,17411.0,12433,33268
56,56,56,17,Fabien Anne,231,M35-39,FRA,00:41:57,04:51:05,03:32:03,09:14:44,Overall Results,Ironman California 2023,2517.0,17465.0,12723,33284
57,57,57,5,Micah Wilson,1383,M25-29,USA,00:42:09,04:43:43,03:37:39,09:14:57,Overall Results,Ironman California 2023,2529.0,17023.0,13059,33297
58,58,58,14,Frederic Hadi,525,M40-44,CAN,00:45:14,05:02:11,03:15:14,09:15:01,Overall Results,Ironman California 2023,2714.0,18131.0,11714,33301
59,59,59,3,Nicolas Perez,2182,M18-24,BRA,00:41:04,04:58:16,03:26:52,09:16:54,Overall Results,Ironman California 2023,2464.0,17896.0,12412,33414
